해수욕장일일일자,연도,월,일,요일,예상 방문자수,예상 혼잡도,해수욕장이름,시/도,시/군/구,위도,경도
2025-08-05,2025,8,5,1,147,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-06,2025,8,6,2,143,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-07,2025,8,7,3,105,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-08,2025,8,8,4,117,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-09,2025,8,9,5,184,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-10,2025,8,10,6,142,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-11,2025,8,11,0,109,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-12,2025,8,12,1,78,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-13,2025,8,13,2,69,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-14,2025,8,14,3,78,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-15,2025,8,15,4,157,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-16,2025,8,16,5,229,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-17,2025,8,17,6,230,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-18,2025,8,18,0,39,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-19,2025,8,19,1,2,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-20,2025,8,20,2,2,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-21,2025,8,21,3,2,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-22,2025,8,22,4,12,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-23,2025,8,23,5,14,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-24,2025,8,24,6,23,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-25,2025,8,25,0,31,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-08-26,2025,8,26,1,3,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
